card_id,qr,deck,archetype,owner_table,held_by_table_at_setup,is_foreign_at_setup,validity,correct_action,penalty_aed,title,counterparty,amount,vat,format,route,verdict
RED-T04-V1,KP5C-4B31885264,RED,V1,4,4,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T04-V2,KP5C-C2E18F0A57,RED,V2,4,4,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T04-V3,KP5C-D36B9F183F,RED,V3,4,4,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T04-V4,KP5C-BE9E482EB9,RED,V4,4,5,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T04-V5,KP5C-E4062AA54B,RED,V5,4,6,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T04-V6,KP5C-03782D9A9C,RED,V6,4,7,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T05-V1,KP5C-04BF24C543,RED,V1,5,5,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T05-V2,KP5C-AAD67A3C9A,RED,V2,5,5,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T05-V3,KP5C-7ED06C63BC,RED,V3,5,5,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T05-V4,KP5C-435F7C1796,RED,V4,5,6,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T05-V5,KP5C-C9DEE3A79E,RED,V5,5,7,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T05-V6,KP5C-8BD8AF69E0,RED,V6,5,8,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T06-V1,KP5C-FE5F3F3A77,RED,V1,6,6,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T06-V2,KP5C-1960AD42DD,RED,V2,6,6,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T06-V3,KP5C-B6A25FEB81,RED,V3,6,6,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T06-V4,KP5C-06DAFEF0A7,RED,V4,6,7,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T06-V5,KP5C-9435441D44,RED,V5,6,8,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T06-V6,KP5C-E6F5221F9E,RED,V6,6,9,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T07-V1,KP5C-9942ABB4F7,RED,V1,7,7,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T07-V2,KP5C-95F1B7D21A,RED,V2,7,7,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T07-V3,KP5C-8036615B9A,RED,V3,7,7,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T07-V4,KP5C-B323E5FBB1,RED,V4,7,8,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T07-V5,KP5C-D4BF3304DD,RED,V5,7,9,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T07-V6,KP5C-2FC2E7CB33,RED,V6,7,10,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T08-V1,KP5C-04746E36AA,RED,V1,8,8,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T08-V2,KP5C-B33329D23C,RED,V2,8,8,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T08-V3,KP5C-34788B157F,RED,V3,8,8,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T08-V4,KP5C-AC1133920D,RED,V4,8,9,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T08-V5,KP5C-03B118BE7C,RED,V5,8,10,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T08-V6,KP5C-656BDBA0DF,RED,V6,8,1,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T09-V1,KP5C-E2DCBC444F,RED,V1,9,9,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T09-V2,KP5C-68D855C6D0,RED,V2,9,9,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T09-V3,KP5C-BF9E34060A,RED,V3,9,9,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T09-V4,KP5C-46C2B39D37,RED,V4,9,10,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T09-V5,KP5C-85727B1C0F,RED,V5,9,1,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T09-V6,KP5C-9B78C23AA0,RED,V6,9,2,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T10-V1,KP5C-CC9FDC5AA8,RED,V1,10,10,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T10-V2,KP5C-38A878AFCF,RED,V2,10,10,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T10-V3,KP5C-49B406EF1A,RED,V3,10,10,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T10-V4,KP5C-7F88F97772,RED,V4,10,1,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T10-V5,KP5C-C69C290812,RED,V5,10,2,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T10-V6,KP5C-025EB294BA,RED,V6,10,3,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T01-X1,KP5C-72058B8568,RED,X1,1,1,False,INVALID,QUARANTINE,100,SCANNED PDF INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%","PDF — scanned, emailed as attachment",C1 → C2 direct (email),QUARANTINE
RED-T01-X2,KP5C-DCF6164ABD,RED,X2,1,1,False,INVALID,QUARANTINE,100,MISSING BUYER TRN,Sable Marine Services LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",QUARANTINE
RED-T01-X3,KP5C-8274F073B5,RED,X3,1,1,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T01-X4,KP5C-43F556E54A,RED,X4,1,1,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T02-X2,KP5C-A4FDD4032E,RED,X2,2,2,False,INVALID,QUARANTINE,100,MISSING BUYER TRN,Sable Marine Services LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",QUARANTINE
RED-T02-X3,KP5C-DE7F7B97D9,RED,X3,2,2,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T02-X4,KP5C-4C42A8B91C,RED,X4,2,2,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T02-X5,KP5C-01EC5D0ECF,RED,X5,2,2,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
RED-T03-X3,KP5C-28642A2071,RED,X3,3,3,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T03-X4,KP5C-42008ED78C,RED,X4,3,3,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T03-X5,KP5C-0F20443C4A,RED,X5,3,3,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
RED-T03-X6,KP5C-21E1748143,RED,X6,3,3,False,OUT_OF_SCOPE,QUARANTINE,0,B2C RETAIL SALE,Ms. A. Haddad — individual consumer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Retail POS — no ASP route,QUARANTINE
RED-T04-X4,KP5C-D9ED7AA22E,RED,X4,4,4,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T04-X5,KP5C-7D74F18B76,RED,X5,4,4,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
RED-T04-X6,KP5C-3AD3ABC596,RED,X6,4,4,False,OUT_OF_SCOPE,QUARANTINE,0,B2C RETAIL SALE,Ms. A. Haddad — individual consumer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Retail POS — no ASP route,QUARANTINE
RED-T04-X1,KP5C-6BE6D8AE05,RED,X1,4,4,False,INVALID,QUARANTINE,100,SCANNED PDF INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%","PDF — scanned, emailed as attachment",C1 → C2 direct (email),QUARANTINE
RED-T05-X5,KP5C-A7995FE888,RED,X5,5,5,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
RED-T05-X6,KP5C-83BA6BA24A,RED,X6,5,5,False,OUT_OF_SCOPE,QUARANTINE,0,B2C RETAIL SALE,Ms. A. Haddad — individual consumer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Retail POS — no ASP route,QUARANTINE
RED-T05-X1,KP5C-E58FB43714,RED,X1,5,5,False,INVALID,QUARANTINE,100,SCANNED PDF INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%","PDF — scanned, emailed as attachment",C1 → C2 direct (email),QUARANTINE
RED-T05-X2,KP5C-D5327C26A5,RED,X2,5,5,False,INVALID,QUARANTINE,100,MISSING BUYER TRN,Sable Marine Services LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",QUARANTINE
RED-T06-X6,KP5C-8B6E1E6D49,RED,X6,6,6,False,OUT_OF_SCOPE,QUARANTINE,0,B2C RETAIL SALE,Ms. A. Haddad — individual consumer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Retail POS — no ASP route,QUARANTINE
RED-T06-X1,KP5C-063C1E500F,RED,X1,6,6,False,INVALID,QUARANTINE,100,SCANNED PDF INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%","PDF — scanned, emailed as attachment",C1 → C2 direct (email),QUARANTINE
RED-T06-X2,KP5C-7B627BC068,RED,X2,6,6,False,INVALID,QUARANTINE,100,MISSING BUYER TRN,Sable Marine Services LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",QUARANTINE
RED-T06-X3,KP5C-3FC217635B,RED,X3,6,6,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T07-X1,KP5C-A861E8C773,RED,X1,7,7,False,INVALID,QUARANTINE,100,SCANNED PDF INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%","PDF — scanned, emailed as attachment",C1 → C2 direct (email),QUARANTINE
RED-T07-X2,KP5C-CB48C4D128,RED,X2,7,7,False,INVALID,QUARANTINE,100,MISSING BUYER TRN,Sable Marine Services LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",QUARANTINE
RED-T07-X3,KP5C-4F7EA468F2,RED,X3,7,7,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T07-X4,KP5C-4286518DA9,RED,X4,7,7,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T08-X2,KP5C-2E4DF48F95,RED,X2,8,8,False,INVALID,QUARANTINE,100,MISSING BUYER TRN,Sable Marine Services LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",QUARANTINE
RED-T08-X3,KP5C-F62B38C672,RED,X3,8,8,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T08-X4,KP5C-5321F32936,RED,X4,8,8,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T08-X5,KP5C-CFB42863CC,RED,X5,8,8,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
RED-T09-X3,KP5C-91254DF8AC,RED,X3,9,9,False,INVALID,QUARANTINE,100,DIRECT EMAIL TRANSMISSION,Vantage Steel Trading LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),"C1 → C2 DIRECT — corners 3, 4 and 5 bypassed",QUARANTINE
RED-T09-X4,KP5C-0F8664BCDE,RED,X4,9,9,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T09-X5,KP5C-9346473741,RED,X5,9,9,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
